latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
54.541664,10.2083435,0.0,0,GMT,GMT

time,wave_height (m),wave_direction (Â°),wave_period (s),ocean_current_velocity (m/s)
2025-09-18T00:00,0.46,215,2.65,0.11
2025-09-18T01:00,0.46,220,2.65,0.11
2025-09-18T02:00,0.46,224,2.65,0.11
2025-09-18T03:00,0.46,229,2.65,0.16
2025-09-18T04:00,0.46,234,2.65,0.16
2025-09-18T05:00,0.46,238,2.70,0.15
2025-09-18T06:00,0.46,243,2.75,0.15
2025-09-18T07:00,0.50,247,2.80,0.15
2025-09-18T08:00,0.54,251,2.85,0.15
2025-09-18T09:00,0.58,255,2.90,0.15
2025-09-18T10:00,0.60,258,2.95,0.15
2025-09-18T11:00,0.64,260,3.05,0.15
2025-09-18T12:00,0.66,263,3.10,0.15
2025-09-18T13:00,0.66,263,3.15,0.15
2025-09-18T14:00,0.64,264,3.15,0.15
2025-09-18T15:00,0.64,264,3.15,0.15
2025-09-18T16:00,0.56,263,3.10,0.15
2025-09-18T17:00,0.50,263,3.00,0.10
2025-09-18T18:00,0.42,262,2.90,0.10
2025-09-18T19:00,0.44,261,2.85,0.15
2025-09-18T20:00,0.48,260,2.75,0.15
2025-09-18T21:00,0.50,259,2.75,0.15
2025-09-18T22:00,0.54,259,2.80,0.15
2025-09-18T23:00,0.60,260,2.90,0.15
2025-09-19T00:00,0.64,260,3.00,0.15
2025-09-19T01:00,0.60,259,3.00,0.16
2025-09-19T02:00,0.56,257,3.00,0.10
2025-09-19T03:00,0.52,256,2.95,0.15
2025-09-19T04:00,0.48,253,2.90,0.10
2025-09-19T05:00,0.46,251,2.80,0.11
2025-09-19T06:00,0.42,248,2.75,0.11
2025-09-19T07:00,0.44,247,2.75,0.11
2025-09-19T08:00,0.46,245,2.75,0.11
2025-09-19T09:00,0.48,244,2.75,0.11
2025-09-19T10:00,0.48,244,2.75,0.11
2025-09-19T11:00,0.46,245,2.75,0.10
2025-09-19T12:00,0.46,245,2.75,0.15
2025-09-19T13:00,0.44,246,2.70,0.10
2025-09-19T14:00,0.40,246,2.70,0.10
2025-09-19T15:00,0.38,247,2.65,0.10
2025-09-19T16:00,0.32,248,2.60,0.05
2025-09-19T17:00,0.28,250,2.60,0.05
2025-09-19T18:00,0.22,251,2.55,0.05
2025-09-19T19:00,0.18,252,2.50,0.00
2025-09-19T20:00,0.12,254,2.40,0.00
2025-09-19T21:00,0.08,255,2.30,0.00
2025-09-19T22:00,0.08,248,2.10,0.05
2025-09-19T23:00,0.08,242,1.85,0.05
2025-09-20T00:00,0.08,235,1.70,0.05
2025-09-20T01:00,0.10,228,1.65,0.07
2025-09-20T02:00,0.10,220,1.65,0.07
2025-09-20T03:00,0.12,213,1.65,0.07
2025-09-20T04:00,0.12,214,1.65,0.07
2025-09-20T05:00,0.10,214,1.65,0.07
2025-09-20T06:00,0.10,215,1.65,0.07
2025-09-20T07:00,0.10,212,1.65,0.07
2025-09-20T08:00,0.10,210,1.60,0.07
2025-09-20T09:00,0.10,207,1.60,0.07
2025-09-20T10:00,0.10,202,1.65,0.07
2025-09-20T11:00,0.08,197,1.70,0.07
2025-09-20T12:00,0.08,192,1.70,0.10
2025-09-20T13:00,0.08,193,1.70,0.05
2025-09-20T14:00,0.06,194,1.65,0.05
2025-09-20T15:00,0.06,195,1.60,0.05
2025-09-20T16:00,0.08,197,1.55,0.05
2025-09-20T17:00,0.08,200,1.55,0.05
2025-09-20T18:00,0.10,202,1.55,0.05
2025-09-20T19:00,0.12,197,1.60,0.05
2025-09-20T20:00,0.16,193,1.65,0.07
2025-09-20T21:00,0.18,188,1.75,0.07
2025-09-20T22:00,0.22,201,1.85,0.05
2025-09-20T23:00,0.26,215,1.95,0.05
2025-09-21T00:00,0.30,228,2.05,0.05
2025-09-21T01:00,0.26,233,2.15,0.05
2025-09-21T02:00,0.24,237,2.25,0.05
2025-09-21T03:00,0.20,242,2.30,0.00
2025-09-21T04:00,0.20,235,2.15,0.00
2025-09-21T05:00,0.22,229,1.95,0.00
2025-09-21T06:00,0.22,222,1.85,0.00
2025-09-21T07:00,0.26,223,1.95,0.00
2025-09-21T08:00,0.30,225,2.15,0.07
2025-09-21T09:00,0.34,226,2.35,0.05
2025-09-21T10:00,0.34,232,2.45,0.00
2025-09-21T11:00,0.36,239,2.45,0.05
2025-09-21T12:00,0.36,245,2.50,0.05
2025-09-21T13:00,0.34,249,2.50,0.00
2025-09-21T14:00,0.30,253,2.50,0.00
2025-09-21T15:00,0.28,257,2.50,0.07
2025-09-21T16:00,0.24,259,2.45,0.05
2025-09-21T17:00,0.20,262,2.40,0.05
2025-09-21T18:00,0.16,264,2.35,0.05
2025-09-21T19:00,0.14,267,2.35,0.05
2025-09-21T20:00,0.10,270,2.30,0.10
2025-09-21T21:00,0.08,273,2.30,0.10
2025-09-21T22:00,0.06,275,2.25,0.10
2025-09-21T23:00,0.06,277,2.20,0.10
2025-09-22T00:00,0.04,279,2.10,0.10
2025-09-22T01:00,0.04,274,2.00,0.10
2025-09-22T02:00,0.04,270,1.95,0.10
2025-09-22T03:00,0.04,265,1.85,0.10
2025-09-22T04:00,0.04,260,1.75,0.11
2025-09-22T05:00,0.04,254,1.70,0.10
2025-09-22T06:00,0.04,249,1.65,0.10
2025-09-22T07:00,0.10,251,1.65,0.11
2025-09-22T08:00,0.14,253,1.65,0.11
2025-09-22T09:00,0.20,255,1.70,0.07
2025-09-22T10:00,0.26,255,1.90,0.05
2025-09-22T11:00,0.30,255,2.15,0.05
2025-09-22T12:00,0.36,255,2.35,0.05
2025-09-22T13:00,0.38,258,2.45,0.05
2025-09-22T14:00,0.38,260,2.55,0.05
2025-09-22T15:00,0.40,263,2.60,0.07
2025-09-22T16:00,0.38,267,2.60,0.07
2025-09-22T17:00,0.36,271,2.55,0.11
2025-09-22T18:00,0.34,275,2.55,0.11
2025-09-22T19:00,0.34,282,2.55,0.11
2025-09-22T20:00,0.36,290,2.55,0.11
2025-09-22T21:00,0.36,297,2.55,0.11
2025-09-22T22:00,0.36,302,2.65,0.11
2025-09-22T23:00,0.34,308,2.75,0.11
2025-09-23T00:00,0.34,313,2.80,0.10
2025-09-23T01:00,0.32,315,2.80,0.10
2025-09-23T02:00,0.28,316,2.80,0.10
2025-09-23T03:00,0.26,318,2.75,0.10
2025-09-23T04:00,0.26,314,2.65,0.10
2025-09-23T05:00,0.26,311,2.55,0.10
2025-09-23T06:00,0.26,307,2.45,0.10
2025-09-23T07:00,0.26,304,2.40,0.05
2025-09-23T08:00,0.26,302,2.40,0.05
2025-09-23T09:00,0.26,299,2.40,0.07
2025-09-23T10:00,0.30,295,2.40,0.05
2025-09-23T11:00,0.32,291,2.40,0.05
2025-09-23T12:00,0.36,287,2.45,0.05
2025-09-23T13:00,0.36,284,2.50,0.05
2025-09-23T14:00,0.38,280,2.55,0.05
2025-09-23T15:00,0.38,277,2.60,0.05
2025-09-23T16:00,0.38,275,2.60,0.05
2025-09-23T17:00,0.38,272,2.60,0.05
2025-09-23T18:00,0.38,270,2.60,0.05
2025-09-23T19:00,0.38,275,2.60,0.05
2025-09-23T20:00,0.38,280,2.60,0.05
2025-09-23T21:00,0.38,285,2.60,0.05
2025-09-23T22:00,0.38,295,2.60,0.05
2025-09-23T23:00,0.40,304,2.60,0.11
2025-09-24T00:00,0.40,314,2.65,0.11
2025-09-24T01:00,0.40,323,2.70,0.10
2025-09-24T02:00,0.42,331,2.75,0.10
2025-09-24T03:00,0.42,340,2.80,0.10
2025-09-24T04:00,0.42,345,2.85,0.10
2025-09-24T05:00,0.42,349,2.90,0.10
2025-09-24T06:00,0.42,354,2.95,0.10
2025-09-24T07:00,0.40,357,2.95,0.10
2025-09-24T08:00,0.40,0,2.95,0.10
2025-09-24T09:00,0.38,3,2.95,0.10
2025-09-24T10:00,0.36,5,2.90,0.10
2025-09-24T11:00,0.32,6,2.85,0.10
2025-09-24T12:00,0.30,8,2.80,0.10
2025-09-24T13:00,0.28,10,2.75,0.10
2025-09-24T14:00,0.24,13,2.65,0.10
2025-09-24T15:00,0.22,15,2.60,0.11
2025-09-24T16:00,0.20,20,2.55,0.11
2025-09-24T17:00,0.20,25,2.50,0.10
2025-09-24T18:00,0.18,30,2.45,0.10
2025-09-24T19:00,0.18,34,2.45,0.10
2025-09-24T20:00,0.20,38,2.50,0.10
2025-09-24T21:00,0.20,42,2.50,0.10
2025-09-24T22:00,0.20,42,2.50,0.10
2025-09-24T23:00,0.20,42,2.45,0.10
